,ID,Year,Sector,Subsector,City,County,Total_Emissions,Biogenic_CO2_Emissions,CO2_Emissions,Methane_Emissions,Nitrous_Oxide_Emissions,HFCs_Emissions,PFCs_Emissions,SF6_Emissions,Fluorinated_Emissions,Geocoded_Location
420,420,2021,Food Production,Other Food Products,Vancouver,Clark,20037,0,20016,10,11,0,0,0,0,POINT (-122.690043 45.631069)
421,421,2020,Natural Gas Systems,Natural Gas Local Distribution Companies,Spokane,Spokane,472,0,0,0,0,0,0,472,0,POINT (-117.388514 47.673486)
422,422,2012,Power Plants,Natural Gas Turbine Plants,Bellingham,Whatcom,51680,0,51627,24,29,0,0,0,0,POINT (-122.486 48.746)
423,423,2018,Food Production,Potato Products,Connell,Franklin,35338,0,35301,17,20,0,0,0,0,POINT (-118.871944 46.651389)
424,424,2012,Pulp and Paper,Other Pulp and Paper,Usk,Pend Oreille,51816,49551,1176,424,665,0,0,0,0,POINT (-117.271359 48.289771)
425,425,2012,Pulp and Paper,Other Pulp and Paper,Port Angeles,Clallam,117631,109231,1724,5214,1462,0,0,0,0,POINT (-123.467524 48.134623)
426,426,2012,Pulp and Paper,Kraft Mills,Port Townsend,Jefferson,613948,523033,76909,6067,7939,0,0,0,0,POINT (-122.796806 48.093793)
427,427,2017,Supplier,Natural Gas Supplier,Bellevue,King,5714016,0,5708121,2689,3206,0,0,0,0,POINT (-122.19454 47.61345)
428,428,2017,Wood Products,Lumber Mills,Aberdeen,Grays Harbor,246387,242554,593,466,2774,0,0,0,0,POINT (-123.775526 46.971875)
429,429,2019,Waste,Landfills,Longview,Cowlitz,18596,0,0,18596,0,0,0,0,0,POINT (-122.905601 46.107229)
430,430,2019,Waste,Landfills,Yakima,Yakima,120183,0,25,120158,0,0,0,0,0,POINT (-120.39408 46.610031)
431,431,2017,Natural Gas Systems,Natural Gas Transmission/Compression,Goldendale,Klickitat,19062,0,16650,2403,9,0,0,0,0,POINT (-120.799267 45.771216)
432,432,2014,Natural Gas Systems,Natural Gas Transmission/Compression,Washougal,Clark,11763,0,9474,2284,5,0,0,0,0,POINT (-122.36516 45.63236)
433,433,2013,Waste,Landfills,Roosevelt,Klickitat,282981,0,207,282773,1,0,0,0,0,POINT (-120.179785 45.807146)
434,434,2018,Wood Products,Lumber Mills,Mount Vernon,Skagit,9335,6091,3159,13,72,0,0,0,0,POINT (-122.443028 48.451642)
435,435,2020,Food Production,Potato Products,Richland,Benton,86387,11549,57724,17040,74,0,0,0,0,POINT (-119.297267 46.309314)
436,436,2016,Power Plants,Natural Gas Turbine Plants,Tacoma,Pierce,30296,0,30265,14,17,0,0,0,0,POINT (-122.364711 47.079716)
437,437,2019,Government,National Security,Oak Harbor,Island,13093,0,13078,7,8,0,0,0,0,POINT (-122.669741 48.345281)
438,438,2016,Minerals,Glass Production,Woodinville,King,9327,0,9319,4,4,0,0,0,0,POINT (-122.148978 47.777004)
439,439,2016,Minerals,Glass Production,Kalama,Cowlitz,23285,0,23268,8,9,0,0,0,0,POINT (-122.866241 46.031656)
440,440,2013,Petroleum Systems,Other Petroleum Systems,Anacortes,Skagit,41885,0,41885,0,0,0,0,0,0,POINT (-122.554343 48.467646)
441,441,2017,Petroleum Systems,Petroleum Refineries,Ferndale,Whatcom,748762,0,745076,1794,1892,0,0,0,0,POINT (-122.692114 48.830142)
442,442,2019,Natural Gas Systems,Natural Gas Transmission/Compression,Sumner,Pierce,14577,0,13818,751,8,0,0,0,0,POINT (-122.209551 47.228986)
443,443,2013,Government,National Security,Joint Base Lewis-McChord,Pierce,83806,0,60203,23560,43,0,0,0,0,POINT (-122.5365 47.1142)
444,444,2012,Metals,Other Metals,Tukwila,King,20917,0,20896,10,11,0,0,0,0,POINT (-122.303906 47.526872)
445,445,2014,Pulp and Paper,Kraft Mills,Tacoma,Pierce,1173532,1059608,107184,1193,5547,0,0,0,0,POINT (-122.421765 47.260953)
446,447,2017,Waste,Landfills,Tacoma,Pierce,16417,0,0,16417,0,0,0,0,0,POINT (-122.499775 47.223413)
447,448,2021,Manufacturing,Building Products,Seattle,King,55216,0,55159,26,31,0,0,0,0,POINT (-122.336944 47.548056)
448,449,2014,Power Plants,Natural Gas Turbine Plants,Longview,Cowlitz,508641,0,508124,236,281,0,0,0,0,POINT (-122.985138 46.140095)
449,450,2016,Pulp and Paper,Other Pulp and Paper,Longview,Cowlitz,37299,0,37260,18,21,0,0,0,0,POINT (-122.976788 46.125662)
450,451,2014,Food Production,Dairy Products,Lynden,Whatcom,21683,0,21661,10,12,0,0,0,0,POINT (-122.451915 48.947567)
451,452,2014,Waste,Landfills,East Wenatchee,Douglas,32740,0,0,32740,0,0,0,0,0,POINT (-120.167444 47.405083)
452,453,2013,Wood Products,Other Wood Products,Spanaway,Pierce,19279,18088,949,35,207,0,0,0,0,POINT (-122.318981 47.062059)
453,454,2020,Metals,Aluminum Production,Ferndale,Whatcom,595365,0,166633,8569,15,0,420148,0,0,POINT (-122.7055 48.8455)
454,455,2013,Petroleum Systems,Other Petroleum Systems,Seattle,King,14336,0,14304,24,8,0,0,0,0,POINT (-122.395299 47.781642)
